Animal ID,Name,DateTime,MonthYear,Date of Birth,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Outcome
A626165,*Dorian,12/23/2013 06:50:00 PM,12/23/2013 06:50:00 PM,05/11/2012,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,0
A709857,Howard,08/23/2015 02:58:00 PM,08/23/2015 02:58:00 PM,04/28/2015,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,0
A813986,*Dragonfly,02/29/2020 07:13:00 PM,02/29/2020 07:13:00 PM,08/22/2019,Cat,Neutered Male,6 months,Domestic Shorthair,Blue,0
A812771,Love,01/29/2020 06:21:00 PM,01/29/2020 06:21:00 PM,01/28/2018,Dog,Intact Female,2 years,Alaskan Husky,Black/White,0
A665107,,10/13/2013 07:00:00 PM,10/13/2013 07:00:00 PM,10/13/2011,Other,Unknown,2 years,Bat,Brown,1
A680666,*Lala,06/11/2014 01:02:00 PM,06/11/2014 01:02:00 PM,02/10/2014,Dog,Spayed Female,3 months,Chihuahua Shorthair/Dachshund,Tan,0
A814263,Oliver,04/30/2020 02:41:00 PM,04/30/2020 02:41:00 PM,02/26/2015,Cat,Neutered Male,5 years,Domestic Shorthair,Brown Tabby,0
A741670,,01/06/2017 10:10:00 AM,01/06/2017 10:10:00 AM,01/05/2016,Other,Unknown,1 year,Bat Mix,Brown,1
A815991,,04/02/2020 12:27:00 PM,04/02/2020 12:27:00 PM,04/02/2018,Other,Unknown,2 years,Bat Mix,Brown,1
A726683,,05/17/2016 07:06:00 PM,05/17/2016 07:06:00 PM,05/13/2015,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby,0
A841114,,08/21/2021 11:06:00 AM,08/21/2021 11:06:00 AM,06/05/2021,Dog,Intact Male,2 months,Rottweiler Mix,Black/Tan,0
A789389,,02/23/2019 06:32:00 PM,02/23/2019 06:32:00 PM,12/05/2018,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A572003,Brodie,12/26/2015 06:26:00 PM,12/26/2015 06:26:00 PM,03/05/2010,Dog,Neutered Male,5 years,Harrier/Catahoula,White/Brown,0
A763820,Spots,12/19/2017 04:03:00 PM,12/19/2017 04:03:00 PM,10/16/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black,0
A787873,Baby,10/29/2018 01:37:00 PM,10/29/2018 01:37:00 PM,09/21/2016,Dog,Spayed Female,2 years,German Shepherd/Alaskan Husky,White,0
A703410,,05/25/2015 12:50:00 PM,05/25/2015 12:50:00 PM,05/09/2015,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby/White,0
A665239,,10/15/2013 04:11:00 PM,10/15/2013 04:11:00 PM,09/08/2013,Dog,Intact Male,1 month,Australian Kelpie Mix,Tricolor,0
A731001,*Rigby,08/21/2016 07:00:00 PM,08/21/2016 07:00:00 PM,04/14/2016,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,0
A812349,,01/25/2020 06:44:00 PM,01/25/2020 06:44:00 PM,10/21/2019,Dog,Spayed Female,3 months,Chihuahua Shorthair,Tan/White,0
A760455,,10/23/2017 04:21:00 PM,10/23/2017 04:21:00 PM,04/18/2017,Dog,Neutered Male,6 months,Chihuahua Shorthair Mix,Brown/Black,0
A683589,,07/12/2014 04:19:00 PM,07/12/2014 04:19:00 PM,07/06/2014,Cat,Intact Female,6 days,Siamese Mix,White/Lynx Point,0
A798094,,06/24/2019 01:30:00 PM,06/24/2019 01:30:00 PM,05/06/2019,Cat,Intact Male,1 month,Domestic Shorthair,Blue/White,0
A676961,,04/17/2014 05:39:00 PM,04/17/2014 05:39:00 PM,03/26/2014,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Blue Tabby,0
A729326,*Jester,07/31/2016 12:00:00 PM,07/31/2016 12:00:00 PM,06/16/2014,Dog,Neutered Male,2 years,Pointer Mix,Black/White,0
A746978,Daisy,04/22/2017 12:40:00 PM,04/22/2017 12:40:00 PM,04/17/2007,Dog,Spayed Female,10 years,Pit Bull Mix,White,0
A701645,*Jett,06/19/2015 05:03:00 PM,06/19/2015 05:03:00 PM,03/04/2015,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,0
A713831,Bella,08/31/2018 12:27:00 PM,08/31/2018 12:27:00 PM,04/19/2010,Dog,Spayed Female,8 years,Staffordshire Mix,Black Brindle/White,0
A735085,Dinker,09/23/2016 07:18:00 PM,09/23/2016 07:18:00 PM,11/18/2015,Dog,Neutered Male,10 months,Australian Cattle Dog Mix,Black/Tan,0
A566568,Duck,02/23/2019 11:33:00 AM,02/23/2019 11:33:00 AM,02/12/2009,Dog,Neutered Male,10 years,Harrier Mix,Brown/Black,0
A740517,Kobe,02/02/2017 04:02:00 PM,02/02/2017 04:02:00 PM,12/18/2013,Dog,Neutered Male,3 years,Pit Bull Mix,Tan,0
A786568,,01/04/2019 05:12:00 PM,01/04/2019 05:12:00 PM,07/27/2018,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black,0
A686095,Tigger,08/24/2014 05:31:00 PM,08/24/2014 05:31:00 PM,04/16/2014,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby,0
A742991,Blue Bell,02/10/2017 06:36:00 PM,02/10/2017 06:36:00 PM,07/01/2016,Cat,Intact Male,7 months,Domestic Shorthair Mix,Blue/White,0
A799158,*Adelaide,08/17/2019 12:45:00 PM,08/17/2019 12:45:00 PM,04/01/2019,Cat,Spayed Female,4 months,Domestic Shorthair,Black/White,0
A839571,*Erebos,07/29/2021 04:55:00 PM,07/29/2021 04:55:00 PM,05/23/2021,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White,0
A671140,,01/21/2014 03:23:00 PM,01/21/2014 03:23:00 PM,07/19/2013,Cat,Intact Male,6 months,Domestic Shorthair Mix,Brown Tabby,0
A821060,*Cardamom,08/20/2020 07:57:00 AM,08/20/2020 07:57:00 AM,06/03/2020,Dog,Neutered Male,2 months,Miniature Pinscher,Black/Tricolor,0
A720280,Snowy,10/27/2019 02:23:00 PM,10/27/2019 02:23:00 PM,10/27/2011,Dog,Neutered Male,8 years,Cocker Spaniel Mix,White,0
A742421,Deena,03/17/2018 02:02:00 PM,03/17/2018 02:02:00 PM,01/21/2013,Dog,Spayed Female,5 years,Pit Bull Mix,Tan,0
A805508,*Randy,11/29/2019 07:44:00 PM,11/29/2019 07:44:00 PM,09/28/2014,Cat,Neutered Male,5 years,Domestic Medium Hair Mix,Blue Tabby,0
A721319,Hunter,03/04/2016 03:02:00 PM,03/04/2016 03:02:00 PM,07/07/2009,Cat,Neutered Male,6 years,Maine Coon Mix,Brown Tabby/White,0
A801661,,08/10/2019 07:09:00 PM,08/10/2019 07:09:00 PM,09/07/2018,Cat,Intact Male,11 months,Domestic Shorthair,Black/White,0
A774866,,06/28/2018 05:03:00 PM,06/28/2018 05:03:00 PM,04/16/2018,Dog,Neutered Male,2 months,Pit Bull Mix,Black/White,0
A732342,*Sheilla,08/19/2016 12:37:00 PM,08/19/2016 12:37:00 PM,08/06/2014,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor,0
A666388,Tiger,11/04/2013 12:12:00 PM,11/04/2013 12:12:00 PM,10/31/2008,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby/White,0
A838023,Priscilla,09/18/2021 02:33:00 PM,09/18/2021 02:33:00 PM,07/01/2017,Cat,Spayed Female,4 years,Domestic Shorthair,Black/White,0
A766799,Casper,02/22/2018 01:14:00 PM,02/22/2018 01:14:00 PM,02/16/2008,Cat,Neutered Male,10 years,Siamese,Lynx Point,0
A717962,Bola,12/22/2015 11:22:00 AM,12/22/2015 11:22:00 AM,12/18/2014,Dog,Intact Female,1 year,Maltese Mix,White,0
A753356,,07/05/2017 12:33:00 PM,07/05/2017 12:33:00 PM,04/05/2017,Cat,Unknown,2 months,Domestic Medium Hair Mix,White/Black,1
A771941,Luna,01/06/2020 04:24:00 PM,01/06/2020 04:24:00 PM,11/12/2017,Dog,Spayed Female,2 years,German Shepherd Mix,White,0
A686701,,08/26/2014 09:00:00 AM,08/26/2014 09:00:00 AM,03/25/2014,Cat,Intact Female,5 months,Domestic Shorthair Mix,White/Black,0
A820776,,07/28/2020 03:43:00 PM,07/28/2020 03:43:00 PM,01/28/2020,Other,Unknown,5 months,Raccoon,Gray,1
A681781,Hathor,06/27/2014 05:13:00 PM,06/27/2014 05:13:00 PM,04/06/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Silver Tabby/White,0
A793634,,06/09/2019 11:39:00 AM,06/09/2019 11:39:00 AM,03/27/2019,Dog,Spayed Female,2 months,German Shepherd Mix,Brown/Black,0
A621534,Diamond,12/04/2014 02:14:00 PM,12/04/2014 02:14:00 PM,09/08/2010,Dog,Spayed Female,4 years,Staffordshire Mix,Blue/White,0
A818068,,06/01/2020 01:17:00 PM,06/01/2020 01:17:00 PM,05/13/2020,Cat,Intact Male,2 weeks,Domestic Shorthair,Cream Tabby/White,0
A810938,,12/31/2019 04:16:00 PM,12/31/2019 04:16:00 PM,12/23/2017,Dog,Neutered Male,2 years,Smooth Fox Terrier,Black/Tan,0
A745361,,03/17/2017 08:31:00 AM,03/17/2017 08:31:00 AM,03/16/2016,Other,Unknown,1 year,Bat,Black,1
A686063,,08/16/2014 10:16:00 AM,08/16/2014 10:16:00 AM,08/16/2012,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black,1
A685695,*Red,02/12/2015 09:46:00 AM,02/12/2015 09:46:00 AM,07/20/2014,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Orange Tabby,0
A843434,Duke,10/05/2021 05:52:00 PM,10/05/2021 05:52:00 PM,07/21/2021,Dog,Neutered Male,2 months,Labrador Retriever,Brown Brindle,0
A695645,*Rudy,05/20/2015 12:16:00 PM,05/20/2015 12:16:00 PM,03/14/2014,Dog,Neutered Male,1 year,Chinese Sharpei,Brown,0
A703383,Dharma,05/28/2015 03:25:00 PM,05/28/2015 03:25:00 PM,05/24/2005,Dog,Spayed Female,10 years,Cocker Spaniel,Buff,0
A729533,,06/26/2016 12:00:00 AM,06/26/2016 12:00:00 AM,05/10/2016,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,0
A670329,Bean,01/06/2014 11:09:00 AM,01/06/2014 11:09:00 AM,07/06/2012,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black,0
A762204,*Kaya,11/24/2017 06:41:00 PM,11/24/2017 06:41:00 PM,11/16/2014,Dog,Spayed Female,3 years,Border Collie Mix,Tricolor,0
A816727,*Rocky,03/19/2021 11:10:00 AM,03/19/2021 11:10:00 AM,04/26/2015,Cat,Neutered Male,5 years,Domestic Longhair,Brown Tabby/White,0
A786535,Jasper,01/02/2019 04:01:00 PM,01/02/2019 04:01:00 PM,10/27/2018,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Tan,0
A750633,,06/01/2017 12:00:00 AM,06/01/2017 12:00:00 AM,05/07/2017,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White,0
A715210,,11/03/2015 05:35:00 PM,11/03/2015 05:35:00 PM,09/02/2015,Dog,Spayed Female,2 months,Cocker Spaniel/Labrador Retriever,White/Tan,0
A681933,,07/01/2014 01:23:00 PM,07/01/2014 01:23:00 PM,04/21/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,0
A778183,*Mel,08/24/2018 12:11:00 PM,08/24/2018 12:11:00 PM,08/02/2012,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Cream Tabby,0
A756752,,08/28/2017 01:11:00 PM,08/28/2017 01:11:00 PM,08/24/2016,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Tan/White,0
A717005,Thumper,12/07/2015 07:11:00 PM,12/07/2015 07:11:00 PM,06/04/2013,Dog,Intact Male,2 years,Miniature Poodle Mix,White,0
A735042,*Rochelle,09/21/2016 02:17:00 PM,09/21/2016 02:17:00 PM,08/17/2016,Cat,Intact Male,5 weeks,Domestic Shorthair Mix,Calico,0
A790785,Bingo,09/08/2020 10:00:00 AM,09/08/2020 10:00:00 AM,03/16/2018,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown,0
A758635,,09/24/2017 05:30:00 PM,09/24/2017 05:30:00 PM,07/09/2017,Dog,Spayed Female,2 months,Pit Bull Mix,Gray/White,0
A689831,*Josephine,11/22/2014 04:28:00 PM,11/22/2014 04:28:00 PM,08/26/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,0
A697722,Ruby,02/28/2015 03:18:00 PM,02/28/2015 03:18:00 PM,08/27/2012,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black,0
A665907,*Lionel,11/15/2013 07:02:00 PM,11/15/2013 07:02:00 PM,10/24/2012,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,0
A737896,Lily,11/07/2016 11:08:00 AM,11/07/2016 11:08:00 AM,11/06/2013,Dog,Intact Female,3 years,Golden Retriever Mix,White,0
A669823,Kitty,01/25/2014 06:59:00 PM,01/25/2014 06:59:00 PM,11/27/2013,Cat,Neutered Male,1 month,Domestic Shorthair Mix,White/Black,0
A791259,*Cassie,03/30/2019 04:58:00 PM,03/30/2019 04:58:00 PM,03/23/2017,Dog,Spayed Female,2 years,Staffordshire Mix,Brown/White,0
A737547,*Gracie,11/07/2016 12:00:00 AM,11/07/2016 12:00:00 AM,10/31/2014,Dog,Spayed Female,2 years,Redbone Hound Mix,Red/White,0
A770144,,04/19/2018 02:29:00 PM,04/19/2018 02:29:00 PM,10/15/2016,Cat,Intact Male,1 year,Domestic Longhair Mix,Brown Tabby,0
A827576,Bubba,03/13/2021 01:49:00 PM,03/13/2021 01:49:00 PM,12/26/2018,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,White,0
A678151,Skeeter,06/15/2014 03:00:00 PM,06/15/2014 03:00:00 PM,05/04/2013,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/White,0
A666714,*Franka,11/15/2013 03:18:00 PM,11/15/2013 03:18:00 PM,09/30/2013,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,0
A749033,,05/14/2017 05:59:00 PM,05/14/2017 05:59:00 PM,03/10/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,0
A726586,Austin,05/18/2016 03:13:00 PM,05/18/2016 03:13:00 PM,09/12/2015,Dog,Neutered Male,8 months,Dachshund Mix,Buff,0
A737900,*Dr. Pepper,11/26/2016 11:46:00 AM,11/26/2016 11:46:00 AM,11/06/2015,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,0
A660098,Delilah,07/15/2014 02:00:00 PM,07/15/2014 02:00:00 PM,08/03/2011,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Merle/White,0
A689899,,10/12/2014 09:00:00 AM,10/12/2014 09:00:00 AM,10/11/2013,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby,0
A752396,,06/26/2017 03:05:00 PM,06/26/2017 03:05:00 PM,05/14/2017,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Red Merle/Brown Merle,0
A794524,,05/13/2019 05:56:00 PM,05/13/2019 05:56:00 PM,01/09/2019,Cat,Spayed Female,4 months,Domestic Medium Hair,Black/White,0
A619609,Lucky,06/20/2014 05:32:00 PM,06/20/2014 05:32:00 PM,02/04/2006,Dog,Neutered Male,8 years,Cairn Terrier Mix,Cream,0
A757617,118,10/04/2017 05:31:00 PM,10/04/2017 05:31:00 PM,09/04/2015,Dog,Intact Female,2 years,Dachshund Mix,Brown/Tan,0
A804995,Lady,09/21/2019 07:30:00 PM,09/21/2019 07:30:00 PM,09/21/2016,Dog,Spayed Female,3 years,Chihuahua Shorthair,Tan,0
A759163,Precious,12/05/2017 02:12:00 PM,12/05/2017 02:12:00 PM,09/28/2010,Dog,Spayed Female,7 years,Beagle Mix,Black/Brown,0
A717699,Lady,12/13/2015 05:00:00 PM,12/13/2015 05:00:00 PM,12/12/2004,Dog,Intact Female,11 years,Labrador Retriever Mix,Yellow,0
A832714,Wrangler,04/19/2021 12:27:00 PM,04/19/2021 12:27:00 PM,06/19/2020,Dog,Intact Male,9 months,German Shepherd/Belgian Malinois,Brown,0
A739213,Zorro,07/31/2019 11:24:00 AM,07/31/2019 11:24:00 AM,11/29/2014,Dog,Intact Male,4 years,Australian Shepherd Mix,Black/Gray,0
A810433,,12/17/2019 06:42:00 PM,12/17/2019 06:42:00 PM,10/22/2019,Dog,Spayed Female,1 month,Bull Terrier,White/Black,0
A684700,,08/01/2014 07:07:00 PM,08/01/2014 07:07:00 PM,05/12/2014,Dog,Neutered Male,2 months,Labrador Retriever/Great Pyrenees,Brown/White,0
A673532,Capulin,03/28/2015 03:06:00 PM,03/28/2015 03:06:00 PM,02/26/2011,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Black,0
A809661,,12/04/2019 01:43:00 PM,12/04/2019 01:43:00 PM,11/29/2018,Cat,Unknown,1 year,Domestic Shorthair,Black,0
A679555,Coco,09/15/2014 03:25:00 PM,09/15/2014 03:25:00 PM,11/22/2013,Dog,Spayed Female,9 months,Boston Terrier Mix,White,0
A716592,*Delta,07/14/2020 08:36:00 AM,07/14/2020 08:36:00 AM,03/28/2014,Dog,Spayed Female,6 years,Pit Bull Mix,Chocolate,0
A687485,*Charlie,09/16/2014 11:21:00 AM,09/16/2014 11:21:00 AM,09/05/2011,Dog,Neutered Male,3 years,American Bulldog Mix,Black/White,0
A667103,Pokey,11/14/2013 01:02:00 PM,11/14/2013 01:02:00 PM,05/12/2004,Dog,Spayed Female,9 years,Beagle Mix,Tricolor,0
A809344,Bella,11/26/2019 04:36:00 PM,11/26/2019 04:36:00 PM,11/22/2013,Dog,Spayed Female,6 years,Yorkshire Terrier,Brown/Black,0
A830326,,03/08/2021 12:08:00 PM,03/08/2021 12:08:00 PM,02/14/2021,Dog,Intact Female,3 weeks,Chihuahua Shorthair,Brown/Tan,0
A717560,Milo,01/29/2016 03:50:00 PM,01/29/2016 03:50:00 PM,09/30/2015,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,0
A766731,Nieko,08/24/2018 06:02:00 PM,08/24/2018 06:02:00 PM,02/15/2017,Dog,Neutered Male,1 year,Labrador Retriever/Pit Bull,Black/White,0
A749224,,05/16/2017 06:48:00 PM,05/16/2017 06:48:00 PM,02/25/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0
A801959,,08/16/2019 04:32:00 PM,08/16/2019 04:32:00 PM,08/12/2018,Cat,Unknown,1 year,Domestic Medium Hair,Brown Tabby,0
A661807,,11/03/2013 06:51:00 PM,11/03/2013 06:51:00 PM,08/24/2013,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,White/Black,0
A819433,*Roan,08/06/2020 02:04:00 PM,08/06/2020 02:04:00 PM,06/29/2018,Dog,Neutered Male,2 years,Catahoula Mix,Black/Brown Brindle,0
A801057,*Simba,08/04/2019 06:48:00 PM,08/04/2019 06:48:00 PM,09/30/2018,Dog,Neutered Male,10 months,Golden Retriever Mix,Cream/Tan,0
A841647,Cookie,09/04/2021 01:41:00 PM,09/04/2021 01:41:00 PM,06/16/2021,Dog,Intact Female,2 months,Jack Russell Terrier Mix,White/Tan,0
A668184,Pecas,11/01/2015 04:48:00 PM,11/01/2015 04:48:00 PM,11/29/2011,Dog,Spayed Female,3 years,Cardigan Welsh Corgi Mix,Black/White,0
A690298,Ondeado,09/18/2020 06:38:00 PM,09/18/2020 06:38:00 PM,10/17/2013,Dog,Neutered Male,6 years,Pit Bull/Boston Terrier,Black/White,0
A668497,,12/11/2013 05:17:00 PM,12/11/2013 05:17:00 PM,12/04/2008,Dog,Intact Female,5 years,Boxer/Pit Bull,Black/White,1
A713543,*Mao,02/28/2017 09:00:00 AM,02/28/2017 09:00:00 AM,10/09/2012,Cat,Neutered Male,4 years,Domestic Medium Hair Mix,Black,0
A778600,Lito,08/21/2018 04:37:00 PM,08/21/2018 04:37:00 PM,06/10/2018,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0
A713868,Miss,11/04/2015 10:36:00 AM,11/04/2015 10:36:00 AM,10/14/2013,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White,0
A838831,Kiki,07/18/2021 05:45:00 PM,07/18/2021 05:45:00 PM,04/13/2021,Dog,Spayed Female,3 months,Black Mouth Cur Mix,Red/White,0
A664688,Apollo,11/17/2013 06:40:00 PM,11/17/2013 06:40:00 PM,10/07/2010,Dog,Neutered Male,3 years,German Shepherd Mix,Brown/Black,0
A720422,,02/22/2016 04:01:00 PM,02/22/2016 04:01:00 PM,02/09/2015,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,0
A728185,Parker,06/04/2016 06:30:00 PM,06/04/2016 06:30:00 PM,06/04/2014,Dog,Neutered Male,2 years,Jack Russell Terrier Mix,Black,0
A648265,Toby,02/03/2021 09:00:00 AM,02/03/2021 09:00:00 AM,11/24/2012,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tan/Cream,0
A694151,Maru,02/02/2015 06:14:00 PM,02/02/2015 06:14:00 PM,11/02/2014,Cat,Neutered Male,3 months,Domestic Longhair,Blue,0
A806614,*Boss,12/16/2019 06:39:00 PM,12/16/2019 06:39:00 PM,09/13/2019,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,0
A665233,,10/15/2013 04:10:00 PM,10/15/2013 04:10:00 PM,09/08/2013,Dog,Intact Female,1 month,Australian Kelpie Mix,Tricolor,0
A610265,Jack,05/29/2014 07:18:00 PM,05/29/2014 07:18:00 PM,09/20/2009,Dog,Neutered Male,4 years,American Bulldog,Blue/White,0
A694588,*Esmeralda,01/06/2015 12:29:00 PM,01/06/2015 12:29:00 PM,12/31/2013,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby,0
A780941,,11/07/2018 09:50:00 AM,11/07/2018 09:50:00 AM,06/17/2018,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White,0
A766402,*Iris,02/13/2018 04:18:00 PM,02/13/2018 04:18:00 PM,08/08/2017,Dog,Spayed Female,6 months,Bruss Griffon Mix,Tan,0
A721317,Sophie,05/21/2016 02:55:00 PM,05/21/2016 02:55:00 PM,02/24/2013,Dog,Spayed Female,3 years,Pit Bull Mix,Black,0
A721655,Luna,03/03/2016 06:39:00 PM,03/03/2016 06:39:00 PM,03/02/2010,Dog,Spayed Female,6 years,Miniature Poodle Mix,White,0
A757956,*Beethoven,10/29/2017 06:15:00 PM,10/29/2017 06:15:00 PM,08/16/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black,0
A807984,*Babbles,11/18/2019 06:06:00 PM,11/18/2019 06:06:00 PM,07/18/2019,Cat,Neutered Male,4 months,Domestic Shorthair,Brown Tabby,0
A722212,*Maxwell,05/14/2016 12:00:00 AM,05/14/2016 12:00:00 AM,03/12/2010,Cat,Neutered Male,6 years,Siamese Mix,Seal Point,0
A757340,Ella,08/25/2018 11:19:00 AM,08/25/2018 11:19:00 AM,08/25/2012,Dog,Spayed Female,6 years,Labrador Retriever Mix,Brown/White,0
A682740,,07/02/2014 02:14:00 PM,07/02/2014 02:14:00 PM,06/28/2014,Cat,Intact Female,4 days,Domestic Shorthair Mix,Brown Tabby,0
A801195,,08/01/2019 12:29:00 PM,08/01/2019 12:29:00 PM,07/07/2019,Cat,Intact Female,3 weeks,Domestic Shorthair,White,0
A735302,Louie,01/07/2018 01:10:00 PM,01/07/2018 01:10:00 PM,09/22/2013,Dog,Neutered Male,4 years,Pit Bull Mix,Black/Tan,0
A760692,Charlie,11/22/2017 09:25:00 AM,11/22/2017 09:25:00 AM,09/15/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,0
A714322,Rocky,10/24/2015 02:39:00 PM,10/24/2015 02:39:00 PM,10/24/2001,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Black/Tan,0
A841300,Tink,09/03/2021 02:58:00 PM,09/03/2021 02:58:00 PM,02/25/2019,Dog,Spayed Female,2 years,Chihuahua Shorthair,White/Blue Merle,0
A652259,Beemo,11/24/2013 03:15:00 PM,11/24/2013 03:15:00 PM,12/28/2012,Dog,Neutered Male,10 months,Siberian Husky,Cream/White,0
A756848,*Juliet,11/18/2017 04:26:00 PM,11/18/2017 04:26:00 PM,08/26/2013,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby,0
A706478,,06/29/2015 02:40:00 PM,06/29/2015 02:40:00 PM,06/02/2015,Cat,Unknown,3 weeks,Domestic Longhair Mix,Brown Tabby,0
A750917,*Buttercup,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,05/02/2017,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico,0
A775380,Bunny,06/30/2018 06:31:00 PM,06/30/2018 06:31:00 PM,06/28/2007,Cat,Neutered Male,11 years,Domestic Shorthair Mix,Brown Tabby/White,0
A692921,*Tess,12/30/2014 07:16:00 PM,12/30/2014 07:16:00 PM,11/28/2013,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White,0
A773821,,06/13/2018 12:15:00 PM,06/13/2018 12:15:00 PM,04/05/2018,Dog,Intact Female,2 months,Brittany Mix,White/Brown,0
A745436,,03/18/2017 08:25:00 AM,03/18/2017 08:25:00 AM,03/17/2016,Other,Unknown,1 year,Bat Mix,Brown,1
A834295,*Janet,06/30/2021 02:47:00 PM,06/30/2021 02:47:00 PM,04/12/2021,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,0
A791834,Yeti,04/13/2019 04:11:00 PM,04/13/2019 04:11:00 PM,04/01/2017,Dog,Neutered Male,2 years,Pit Bull Mix,White,0
A718527,,01/03/2016 09:37:00 AM,01/03/2016 09:37:00 AM,01/01/2014,Dog,Intact Female,2 years,German Shepherd Mix,Black/Tan,1
A717973,*Garland,01/19/2016 10:00:00 AM,01/19/2016 10:00:00 AM,10/25/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0
A835717,*Eve,08/18/2021 01:07:00 PM,08/18/2021 01:07:00 PM,10/01/2020,Cat,Spayed Female,10 months,Domestic Shorthair Mix,White/Black,0
A787814,Wrinkles,01/21/2019 10:35:00 AM,01/21/2019 10:35:00 AM,01/20/2008,Dog,Neutered Male,11 years,English Bulldog/Mastiff,Brown Brindle/White,0
A755774,Jasmine,08/13/2017 12:07:00 PM,08/13/2017 12:07:00 PM,06/08/2017,Dog,Intact Female,2 months,Great Pyrenees Mix,White/Gray,0
A400680,Lucy,10/02/2017 02:35:00 PM,10/02/2017 02:35:00 PM,03/09/2005,Dog,Spayed Female,12 years,Australian Cattle Dog/Parson Russell Terrier,White/Brown Merle,0
A777932,Rey,09/30/2018 03:07:00 PM,09/30/2018 03:07:00 PM,06/18/2018,Dog,Spayed Female,3 months,German Shepherd Mix,Black/White,0
A749352,,05/16/2017 02:07:00 PM,05/16/2017 02:07:00 PM,04/13/2017,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby/White,0
A687439,,10/21/2014 06:16:00 PM,10/21/2014 06:16:00 PM,08/04/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0
A728510,Panchita,06/09/2016 12:00:00 AM,06/09/2016 12:00:00 AM,03/21/2016,Dog,Intact Female,2 months,Catahoula Mix,White/Brown Brindle,0
A760325,Lizzy,10/21/2017 03:15:00 PM,10/21/2017 03:15:00 PM,10/16/2016,Dog,Spayed Female,1 year,Dachshund Mix,White/Black,0
